pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
SL,2022-11-05,83.8,-2.84,5.79,"Robertson, David",663656,502085,,ball,,,,,11,Kyle Tucker flies out to left fielder Kyle Schwarber.,W,L,R,HOU,PHI,B,,,0,0,2022,0.52,0.02,-1.12,2.74,,,,2,8,Bot,,,,,592663,,,2.9216797743917406,-122.03305744362186,-0.6514279558840479,4.600654709160324,25.326630511375267,-32.080058835501454,3.51,1.69,,,,83.7,2718,6.3,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,54.23,,,,,,,,60,1,Slider,4,1,4,1,1,4,4,1,Infield shift,Standard,66,0.0,0.015,11,5
KC,2022-11-05,82.6,-2.36,6.0,"Robertson, David",608324,502085,single,hit_into_play,,,,,9,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,X,7,line_drive,3,2,2022,0.55,-0.77,0.81,1.65,,,,1,8,Bot,52.57,117.4,,,592663,,,6.192255225163735,-120.13296766456055,-1.8371416663023,3.968855807150661,24.99622257909085,-39.44535892399397,3.2,1.51,214,80.6,19,83.1,2592,6.8,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.69,0.917,0.887,0.9,1,1,0,4,59,7,Knuckle Curve,4,1,4,1,1,4,4,1,Infield shift,Standard,42,-0.002,0.211,11,5
SL,2022-11-05,82.7,-2.64,5.73,"Robertson, David",608324,502085,,foul,,,,,8,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,S,,,3,2,2022,0.81,0.09,0.02,1.71,,,,1,8,Bot,,,,,592663,,,4.560029853771731,-120.41811360605796,-2.8887580655132865,6.926342434742737,23.78704928661132,-30.939688585177613,3.2,1.51,7,86.1,-14,83.7,2711,7.0,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.53,,,,,,,,59,6,Slider,4,1,4,1,1,4,4,1,Infield shift,Standard,79,0.0,0.0,11,5
FC,2022-11-05,92.7,-2.34,5.78,"Robertson, David",608324,502085,,ball,,,,,14,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,B,,,2,2,2022,0.01,1.56,0.25,0.59,,,,1,8,Bot,,,,,592663,,,6.637641037754988,-134.4748354728943,-10.932163803174328,-1.3067860395323685,29.21270309337504,-10.98456580259278,3.25,1.6,,,,93.4,2643,6.9,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.65,,,,,,,,59,5,Cutter,4,1,4,1,1,4,4,1,Infield shift,Standard,198,0.0,0.073,11,5
FC,2022-11-05,89.8,-2.46,5.84,"Robertson, David",608324,502085,,ball,,,,,14,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,B,,,1,2,2022,0.61,1.34,0.28,0.46,,,,1,8,Bot,,,,,592663,,,5.507148338379829,-130.2711189175706,-10.159965492095823,5.709498128034927,28.924091638789573,-14.928137492360802,3.19,1.51,,,,90.1,2672,6.8,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.71,,,,,,,,59,4,Cutter,4,1,4,1,1,4,4,1,Infield shift,Standard,187,0.0,0.023,11,5
FC,2022-11-05,92.3,-2.33,5.84,"Robertson, David",608324,502085,,ball,,,,,14,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,B,,,0,2,2022,0.35,1.28,2.03,-0.12,,,,1,8,Bot,,,,,592663,,,10.361056032689072,-133.57329112348268,-12.107503162730955,1.7678443250931952,31.06549761667997,-14.18546173016521,3.25,1.57,,,,92.4,2715,6.8,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.67,,,,,,,,59,3,Cutter,4,1,4,1,1,4,4,1,Infield shift,Standard,193,0.0,0.011,11,5
SL,2022-11-05,82.1,-2.74,5.6,"Robertson, David",608324,502085,,foul,,,,,4,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,S,,,0,1,2022,0.89,0.52,-0.44,2.04,,,,1,8,Bot,,,,,592663,,,3.490725368503944,-119.54002675679382,-2.487006575792547,7.764101731810928,24.775187239180312,-26.887246868068296,3.2,1.51,215,87.8,60,82.3,2670,6.5,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.97,,,,,,,,59,2,Slider,4,1,4,1,1,4,4,1,Infield shift,Standard,71,0.0,-0.031,11,5
SL,2022-11-05,81.8,-2.57,5.83,"Robertson, David",608324,502085,,foul,,,,,8,"Phillies challenged (tag play), call on the field was overturned: Alex Bregman singles on a line drive to left fielder Kyle Schwarber.  Alex Bregman out at 2nd on the throw, left fielder Kyle Schwarber to second baseman Jean Segura.",W,R,R,HOU,PHI,S,,,0,0,2022,0.9,0.16,-0.14,1.84,,,,1,8,Bot,,,,,592663,,,3.776233648393781,-119.14847363937167,-2.7895419036135283,7.874015297681778,22.243809776268957,-30.336878024808357,3.2,1.51,195,68.6,49,82.4,2882,6.6,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.92,,,,,,,,59,1,Slider,4,1,4,1,1,4,4,1,Infield shift,Standard,75,0.0,-0.024,11,5
SL,2022-11-05,84.4,-2.56,5.83,"Robertson, David",670541,502085,strikeout,swinging_strike_blocked,,,,,14,Yordan Alvarez strikes out swinging.,W,L,R,HOU,PHI,S,2,,1,2,2022,1.05,-0.58,0.33,0.69,,,,0,8,Bot,,,,,592663,,,4.645469252979156,-122.71763612401568,-4.375819209973736,9.527406346111448,27.129061100897317,-37.20292068013176,3.49,1.71,,,,84.1,2745,6.4,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,54.11,,,0.0,1,0,0,,58,4,Slider,4,1,4,1,1,4,4,1,Infield shift,Standard,35,-0.003,-0.158,11,5
KC,2022-11-05,83.4,-2.53,5.88,"Robertson, David",670541,502085,,foul,,,,,9,Yordan Alvarez strikes out swinging.,W,L,R,HOU,PHI,S,,,1,1,2022,0.79,-1.15,0.52,2.13,,,,0,8,Bot,,,,,592663,,,5.456250201806112,-121.3129619780552,0.1829029455381463,6.547835972452798,26.873600166878784,-43.695192393149085,3.49,1.71,5,82.3,-25,83.2,2715,6.5,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,54.01,,,,,,,,58,3,Knuckle Curve,4,1,4,1,1,4,4,1,Infield shift,Standard,47,0.0,-0.054,11,5
KC,2022-11-05,81.4,-2.3,6.04,"Robertson, David",670541,502085,,ball,,,,,14,Yordan Alvarez strikes out swinging.,W,L,R,HOU,PHI,B,,,0,1,2022,0.38,-1.21,0.04,-1.07,,,,0,8,Bot,,,,,592663,,,4.511392608641047,-118.1928908904333,-6.839356819257294,2.4713655819508444,27.72137393144304,-41.98788572896222,3.48,1.72,,,,80.7,2678,6.5,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,54.02,,,,,,,,58,2,Knuckle Curve,4,1,4,1,1,4,4,1,Infield shift,Standard,29,0.0,0.025,11,5
FC,2022-11-05,92.8,-2.59,5.89,"Robertson, David",670541,502085,,called_strike,,,,,11,Yordan Alvarez strikes out swinging.,W,L,R,HOU,PHI,S,,,0,0,2022,0.16,1.32,-0.91,2.85,,,,0,8,Bot,,,,,592663,,,3.978330967606367,-134.95955922873563,-4.866813547783411,1.060762925616733,31.383918927014346,-15.228849634248292,3.69,1.81,,,,93.2,2750,6.7,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.76,,,,,,,,58,1,Cutter,4,1,4,1,1,4,4,1,Infield shift,Standard,188,0.0,-0.034,11,5
FF,2022-11-05,98.1,-1.81,5.83,"Abreu, Bryan",656941,650556,strikeout,foul_bunt,,,,,12,Kyle Schwarber strikes out on a foul bunt.,W,L,R,HOU,PHI,S,2,,1,2,2022,-0.37,1.46,0.0,3.82,,,,2,8,Top,,,,,455117,,,5.757454532885009,-142.65036373026285,-3.2909102758367577,-6.444547232713119,36.08028628184493,-11.709340214884447,3.26,1.53,,,,97.9,2336,6.5,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.05,,,0.0,1,0,0,,57,4,4-Seam Fastball,4,1,1,4,1,4,1,4,Infield shift,Standard,204,0.006,-0.07,11,5
SL,2022-11-05,88.7,-2.24,5.7,"Abreu, Bryan",656941,650556,,foul,,,,,8,Kyle Schwarber strikes out on a foul bunt.,W,L,R,HOU,PHI,S,,,1,1,2022,0.64,-0.4,-0.05,2.06,,,,2,8,Top,,,,,455117,,,4.030924873355732,-129.04545908887832,-1.93020834108848,6.141123596889257,29.737487730706366,-36.36988746929609,3.26,1.53,132,72.2,13,88.4,3008,6.3,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.15,,,,,,,,57,3,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,66,0.0,-0.023,11,5
SL,2022-11-05,88.7,-2.36,5.66,"Abreu, Bryan",656941,650556,,ball,,,,,14,Kyle Schwarber strikes out on a foul bunt.,W,L,R,HOU,PHI,B,,,0,1,2022,1.49,-0.03,1.17,-0.15,,,,2,8,Top,,,,,455117,,,5.534385930201272,-128.78526531474537,-7.940033797280088,14.909838551302611,32.81891435199049,-30.687151560400217,3.33,1.6,,,,88.2,3306,6.6,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,53.89,,,,,,,,57,2,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,47,0.0,0.011,11,5
SL,2022-11-05,87.8,-2.25,5.69,"Abreu, Bryan",656941,650556,,swinging_strike,,,,,9,Kyle Schwarber strikes out on a foul bunt.,W,L,R,HOU,PHI,S,,,0,0,2022,1.01,0.5,0.61,1.44,,,,2,8,Top,,,,,455117,,,4.838227395208126,-127.6381320577854,-5.088981693131436,9.68402504636765,30.92676966088323,-25.7916968229872,3.26,1.53,,,,87.3,3018,6.4,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.09,,,,,,,,57,1,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,67,0.0,-0.017,11,5
SL,2022-11-05,87.9,-2.35,5.6,"Abreu, Bryan",669016,650556,field_out,hit_into_play,,,,,12,Brandon Marsh flies out to right fielder Kyle Tucker.,W,L,R,HOU,PHI,X,9,fly_ball,2,1,2022,0.46,0.15,0.86,2.41,,,,1,8,Top,166.82,60.52,,,455117,,,6.841276064724863,-127.7273368965037,-1.8343495002946535,3.35309501511735,29.95720875197778,-30.3239420004438,3.09,1.44,356,94.4,35,87.8,2889,6.6,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,53.89,0.091,0.174,0.0,1,0,0,3,56,4,Slider,4,1,1,4,1,4,1,4,Standard,Standard,65,0.013,-0.18,11,5
FF,2022-11-05,97.7,-1.76,5.75,"Abreu, Bryan",669016,650556,,ball,,,,,13,Brandon Marsh flies out to right fielder Kyle Tucker.,W,L,R,HOU,PHI,B,,,1,1,2022,-0.71,1.44,-1.0,2.29,,,,1,8,Top,,,,,455117,,,3.6930040477936825,-142.07586983911762,-7.070423478828484,-10.424373726658803,36.92034032530104,-11.284920671003702,3.16,1.6,,,,97.3,2583,6.4,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.1,,,,,,,,56,3,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,205,0.0,0.033,11,5
FF,2022-11-05,98.6,-1.86,5.86,"Abreu, Bryan",669016,650556,,ball,,,,,11,Brandon Marsh flies out to right fielder Kyle Tucker.,W,L,R,HOU,PHI,B,,,0,1,2022,-0.71,1.37,-1.37,3.15,,,,1,8,Top,,,,,455117,,,2.9841328955498683,-143.46626974782063,-5.042794710444121,-10.485414916406384,37.17921640873597,-12.386069364387636,3.16,1.57,,,,98.2,2567,6.3,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.17,,,,,,,,56,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,206,0.0,0.016,11,5
SL,2022-11-05,88.0,-2.57,5.57,"Abreu, Bryan",669016,650556,,called_strike,,,,,9,Brandon Marsh flies out to right fielder Kyle Tucker.,W,L,R,HOU,PHI,S,,,0,0,2022,0.82,0.16,0.58,1.4,,,,1,8,Top,,,,,455117,,,5.930934084401443,-127.85697637524098,-4.217254562705111,7.444256992122002,30.916326828911902,-29.692497533519678,3.16,1.42,,,,87.4,3034,6.4,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.08,,,,,,,,56,1,Slider,4,1,1,4,1,4,1,4,Standard,Standard,76,0.0,-0.024,11,5
FF,2022-11-05,97.9,-1.72,5.85,"Abreu, Bryan",681082,650556,field_out,hit_into_play,,,,,9,Bryson Stott lines out to third baseman Alex Bregman.,W,L,R,HOU,PHI,X,5,line_drive,0,1,2022,-0.88,1.45,0.43,2.01,,,,0,8,Top,108.93,172.87,,,455117,,,7.895138618640714,-142.04803493916737,-8.204729891738966,-13.807166168842148,36.359544574213785,-10.757382555683348,3.22,1.48,86,78.2,6,97.9,2524,6.7,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,53.78,0.317,0.313,0.0,1,0,0,2,55,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,214,0.021,-0.187,11,5
FF,2022-11-05,96.7,-1.91,5.82,"Abreu, Bryan",681082,650556,,called_strike,,,,,6,Bryson Stott lines out to third baseman Alex Bregman.,W,L,R,HOU,PHI,S,,,0,0,2022,-0.72,1.59,0.36,2.63,,,,0,8,Top,,,,,455117,,,7.677301368130558,-140.38884392848166,-6.521999815766961,-11.37247386098595,35.52663636583725,-9.813436150592612,3.16,1.48,,,,96.2,2498,6.4,715719,650556,455117,641820,514888,608324,665161,670541,676801,663656,54.12,,,,,,,,55,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,210,0.0,-0.034,11,5
CU,2022-11-05,79.3,-2.5,5.89,"Eflin, Zach",665161,621107,strikeout,swinging_strike_blocked,,,,,14,Jeremy Pena strikes out swinging.,W,R,R,HOU,PHI,S,2,,0,2,2022,1.09,-0.95,0.94,0.81,,514888,,2,7,Bot,,,,,592663,,,5.519679720266582,-115.28872623757896,-2.428415073275425,8.40543690882282,25.262852173477174,-40.219444624711365,3.62,1.74,,,,79.5,2579,6.9,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,53.64,,,0.0,1,0,0,,54,3,Curveball,4,1,4,1,1,4,4,1,Standard,Standard,57,-0.008,-0.204,11,5
CU,2022-11-05,78.6,-2.57,5.84,"Eflin, Zach",665161,621107,,swinging_strike_blocked,,,,,14,Jeremy Pena strikes out swinging.,W,R,R,HOU,PHI,S,,,0,1,2022,1.38,-0.6,0.92,0.31,,514888,,2,7,Bot,,,,,592663,,,5.0490224735509965,-114.30323289263308,-3.894691504029826,10.73925495993881,25.66469007097498,-36.74453683486336,3.62,1.74,,,,78.6,2602,6.8,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,53.67,,,,,,,,54,2,Curveball,4,1,4,1,1,4,4,1,Standard,Standard,63,0.0,-0.062,11,5
SI,2022-11-05,92.0,-2.66,5.82,"Eflin, Zach",665161,621107,,called_strike,,,,,6,Jeremy Pena strikes out swinging.,W,R,R,HOU,PHI,S,,,0,0,2022,-1.36,0.79,0.67,2.43,,514888,,2,7,Bot,,,,,592663,,,11.529372665820691,-133.13188406611678,-4.287269906512828,-19.050104825279483,36.773957215675125,-22.035714288559337,3.63,1.78,,,,91.6,2225,7.0,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,53.49,,,,,,,,54,1,Sinker,4,1,4,1,1,4,4,1,Standard,Standard,221,0.0,-0.046,11,5
CU,2022-11-05,77.6,-2.54,5.89,"Eflin, Zach",514888,621107,single,hit_into_play,,,,,7,"Jose Altuve singles on a line drive to left fielder Kyle Schwarber.   Jose Altuve to 2nd.  Jose Altuve advances to 2nd, on a fielding error by left fielder Kyle Schwarber.",W,R,R,HOU,PHI,X,7,line_drive,2,2,2022,1.52,-0.64,-0.39,1.72,,,,2,7,Bot,40.58,108.69,,,592663,,,1.825871417735374,-113.04283821398928,-0.7541035712245752,12.557097411439196,22.87027413239761,-37.73871124438645,2.84,1.3,233,80.5,21,77.6,2514,6.5,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,54.0,0.834,0.788,0.9,1,1,0,4,53,5,Curveball,4,1,4,1,1,4,4,1,Standard,Standard,58,0.006,0.133,11,5
FC,2022-11-05,89.4,-2.54,5.71,"Eflin, Zach",514888,621107,,foul,,,,,5,"Jose Altuve singles on a line drive to left fielder Kyle Schwarber.   Jose Altuve to 2nd.  Jose Altuve advances to 2nd, on a fielding error by left fielder Kyle Schwarber.",W,R,R,HOU,PHI,S,,,2,1,2022,0.06,0.75,0.25,1.88,,,,2,7,Bot,,,,,592663,,,6.847950759910353,-130.12940153756492,-5.111689159921378,-0.5905602923808677,24.90925205014717,-22.819827582538785,2.84,1.3,237,77.9,47,90.9,2194,7.0,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,53.54,,,,,,,,53,4,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,213,0.0,-0.031,11,5
CU,2022-11-05,78.1,-2.59,5.85,"Eflin, Zach",514888,621107,,ball,,,,,14,"Jose Altuve singles on a line drive to left fielder Kyle Schwarber.   Jose Altuve to 2nd.  Jose Altuve advances to 2nd, on a fielding error by left fielder Kyle Schwarber.",W,R,R,HOU,PHI,B,,,1,1,2022,1.34,-0.51,0.94,0.44,,,,2,7,Bot,,,,,592663,,,5.151847306103192,-113.5179378543444,-3.730291533543224,10.366086485433753,23.59103069901223,-36.01633739137207,2.86,1.24,,,,78.0,2583,6.6,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,53.9,,,,,,,,53,3,Curveball,4,1,4,1,1,4,4,1,Standard,Standard,60,0.0,0.021,11,5
SI,2022-11-05,92.7,-2.38,5.68,"Eflin, Zach",514888,621107,,ball,,,,,14,"Jose Altuve singles on a line drive to left fielder Kyle Schwarber.   Jose Altuve to 2nd.  Jose Altuve advances to 2nd, on a fielding error by left fielder Kyle Schwarber.",W,R,R,HOU,PHI,B,,,0,1,2022,-1.37,0.35,1.47,1.58,,,,2,7,Bot,,,,,592663,,,12.882583720945798,-134.30400453570633,-5.394020078645153,-19.416640968969272,29.62399648021821,-26.88255110807789,2.92,1.3,,,,92.9,2142,6.7,715719,621107,592663,656555,516416,664761,624641,656941,663837,592206,53.79,,,,,,,,53,2,Sinker,4,1,4,1,1,4,4,1,Standard,Standard,224,0.0,0.011,11,5
